$RCA[\%]$,$f_c^{\prime}$,$b[mm]$,$d[mm]$,$a/d$,$\rho_w[\%]$,$V_{test}[kN]$
100.0,46.8,200,270,2.6,0.75,81.29
50.0,32.6,200,450,2.5,2.85,108.9
75.0,34.0,200,260,3.08,1.81,87.5
100.0,31.9,200,260,2.5,2.98,61.0
50.0,26.6,305,375,3.2,2.03,99.9
50.0,35.5,305,400,3.0,1.27,148.6
100.0,46.8,200,270,2.6,0.75,81.29
50.0,29.0,200,260,3.08,1.16,59.5
100.0,31.9,200,260,2.0,1.16,61.0
100.0,31.9,200,225,3.0,1.78,50.2
75.0,34.0,200,260,3.08,1.81,87.5
100.0,34.5,200,235,4.2,4.09,104.75
100.0,31.9,200,260,3.08,1.1,61.0
100.0,31.9,200,260,4.0,1.16,61.0
50.0,37.4,150,388,3.0,0.79,46.95
100.0,31.9,200,300,2.5,2.85,61.0
75.0,34.0,200,260,3.08,1.81,87.5
100.0,31.9,170,270,4.0,1.1,31.7
50.0,32.0,305,400,3.0,2.71,140.8
100.0,34.5,200,225,3.0,1.78,50.2
50.0,33.4,200,375,3.2,2.03,91.75
100.0,34.5,200,270,2.6,1.31,104.75
100.0,31.9,200,270,4.0,1.16,61.0
100.0,22.6,200,360,2.6,1.61,70.07
100.0,34.5,200,225,1.5,1.78,152.88
100.0,34.5,200,225,1.5,1.78,150.3
75.0,34.0,200,260,2.0,1.81,87.5
75.0,34.0,200,260,3.08,1.81,87.5
100.0,30.4,150,160,4.4,1.06,19.7
75.0,34.0,200,260,3.08,1.81,87.5
30.0,22.0,150,250,2.0,2.14,37.0
100.0,46.7,200,270,2.6,1.31,92.28
100.0,31.9,170,270,4.0,1.1,31.7
100.0,28.4,150,160,4.4,0.59,12.6
50.0,26.6,305,375,3.875,2.03,44.0
63.5,41.6,200,381,2.73,1.99,99.5
30.0,34.0,150,250,3.0,2.14,29.0
100.0,34.5,200,225,1.5,1.78,130.0
30.0,22.0,150,250,2.0,2.14,37.0
100.0,46.8,200,270,2.6,0.75,81.29
50.0,32.6,400,600,2.5,2.85,261.5
100.0,46.8,200,270,2.6,0.75,81.29
100.0,31.9,170,270,4.0,1.1,31.7
30.0,24.5,150,250,1.0,2.14,161.7
100.0,29.5,200,260,3.08,1.81,81.15
100.0,46.5,150,200,4.4,1.06,21.7
100.0,46.7,200,270,2.6,1.31,92.28
50.0,32.6,300,450,3.08,1.16,59.5
30.0,22.0,150,250,2.0,2.14,43.0
100.0,30.4,150,160,4.4,1.34,43.7
100.0,31.9,200,260,4.0,1.1,61.0
15.0,22.6,150,250,2.0,0.79,55.5
100.0,34.5,200,225,3.0,1.78,49.0
100.0,46.8,200,270,2.6,0.75,81.29
100.0,34.5,200,225,1.5,1.78,150.3
100.0,34.9,400,600,2.5,2.85,256.6
100.0,34.5,200,225,1.5,1.78,130.0
100.0,46.8,200,270,2.6,0.75,81.29
50.0,31.9,200,260,3.08,1.16,61.0
100.0,46.7,200,270,2.6,1.31,92.28
100.0,31.9,200,270,3.08,1.16,61.0
30.0,21.2,150,250,3.0,2.14,29.0
100.0,29.0,200,260,2.5,1.16,59.5
50.0,26.6,305,400,3.0,1.27,134.6
100.0,34.5,200,225,1.5,1.78,150.3
50.0,29.0,200,260,3.08,1.16,59.5
50.0,35.5,305,400,3.0,1.27,168.6
35.0,35.3,150,388,3.0,0.79,45.05
63.5,41.6,200,305,3.93,2.46,83.2
30.0,21.5,150,250,2.0,2.14,36.5
50.0,29.0,200,260,3.08,1.16,59.5
100.0,31.9,170,270,4.0,1.1,31.7
100.0,34.5,200,225,3.0,1.78,49.0
50.0,32.6,200,303,3.3,2.98,91.75
100.0,30.4,150,160,4.4,1.06,19.7
100.0,34.5,200,225,1.5,1.78,150.3
50.0,29.0,200,260,3.08,1.16,59.5
50.0,32.0,305,400,3.0,1.27,171.7
50.0,29.0,200,260,3.08,1.16,59.5
50.0,23.0,200,260,3.08,1.81,72.5
100.0,31.9,170,270,4.0,1.1,31.7
75.0,34.0,200,260,3.08,1.81,87.5
100.0,46.7,200,270,2.6,1.31,92.28
100.0,34.5,200,225,1.5,1.78,130.0
50.0,37.4,150,200,3.875,1.34,41.2
50.0,35.5,305,400,3.0,1.27,148.6
100.0,34.5,200,225,1.5,1.78,49.0
100.0,31.9,170,270,4.0,1.1,31.7
100.0,46.8,200,270,2.6,0.75,81.29
50.0,35.5,200,375,3.2,4.09,91.75
50.0,23.0,200,260,3.08,1.81,72.5
30.0,22.0,150,250,2.0,2.14,43.0
100.0,34.9,200,450,2.5,2.85,96.4
50.0,29.0,200,300,2.5,2.85,59.5
100.0,46.7,200,270,2.6,1.31,92.28
100.0,46.5,150,160,4.4,1.06,21.0
50.0,29.0,200,260,2.5,2.85,59.5
100.0,30.4,150,200,3.875,1.34,21.0
100.0,31.9,200,260,3.08,1.16,61.0
15.0,22.6,150,250,2.0,2.14,55.5
100.0,46.7,200,270,2.6,1.31,92.28
100.0,31.9,200,260,3.08,1.16,61.0
100.0,31.9,200,260,3.08,1.16,61.0
100.0,46.5,150,160,4.4,1.06,19.7
100.0,31.9,170,270,4.0,1.1,31.7
50.0,32.6,170,270,2.5,1.1,83.5
100.0,31.9,170,270,4.0,1.1,31.7
100.0,46.8,200,270,2.6,0.75,81.1
100.0,31.9,170,270,2.5,1.1,61.0
100.0,22.6,200,360,3.25,1.61,57.77
30.0,21.5,150,250,2.0,2.14,36.5
100.0,46.7,200,270,2.6,1.31,92.28
50.0,29.0,200,260,3.08,1.16,59.5
100.0,34.5,200,225,1.5,1.78,152.88
50.0,35.5,305,400,3.0,2.71,168.6
100.0,31.9,170,270,4.0,1.1,31.7
50.0,32.6,300,450,3.2,3.02,89.0
100.0,31.9,200,260,3.08,1.16,61.0
100.0,34.5,200,225,3.0,1.78,49.0
100.0,34.5,200,225,1.5,1.78,107.8
50.0,35.5,305,400,3.0,2.71,117.4
50.0,29.0,200,260,3.08,1.16,59.5
100.0,31.9,200,260,4.2,1.16,61.0
100.0,22.6,200,360,2.5,0.83,59.78
100.0,46.5,200,270,2.6,0.75,81.1
100.0,34.5,200,225,1.5,1.78,130.0
30.0,23.8,150,250,2.0,2.14,43.0
100.0,34.9,400,600,2.5,2.85,125.1
100.0,31.9,170,270,4.0,1.1,31.7
30.0,22.0,150,250,2.0,2.14,37.0
100.0,31.9,170,270,4.0,1.1,31.7
50.0,29.0,200,260,3.08,1.16,59.5
100.0,32.9,150,160,4.4,1.06,21.7
10.0,34.8,150,388,3.0,0.79,52.5
75.0,34.0,200,260,3.08,1.81,87.5
100.0,46.8,200,270,2.6,0.75,81.29
100.0,34.5,200,225,3.0,1.78,49.0
50.0,26.6,200,375,3.2,2.03,99.9
100.0,46.5,150,160,4.4,1.06,21.0
100.0,29.5,200,260,3.08,1.81,83.85
100.0,29.5,200,260,3.08,1.81,81.15
50.0,29.0,200,260,3.2,1.16,59.5
50.0,37.4,150,200,3.875,1.34,43.7
50.0,23.0,200,260,3.08,1.81,72.5
100.0,31.9,200,260,3.08,1.16,61.0
100.0,31.9,200,260,4.0,1.16,61.0
50.0,29.0,200,260,3.08,1.16,59.5
50.0,26.6,305,400,3.0,2.71,140.8
30.0,21.5,150,250,2.0,2.14,36.5
100.0,32.9,150,160,4.4,1.06,21.7
100.0,31.9,170,270,4.0,1.1,31.7
50.0,41.8,150,200,3.875,1.34,44.0
50.0,29.0,200,260,3.08,2.85,59.5
100.0,31.9,200,270,3.08,1.1,61.0
100.0,46.8,200,270,2.6,0.75,81.29
50.0,29.0,200,260,2.5,2.85,59.5
100.0,34.5,200,225,3.0,1.78,49.0
75.0,34.0,150,260,3.08,1.81,87.5
30.0,21.5,150,250,2.0,2.14,36.5
50.0,29.0,200,260,3.08,1.16,59.5
100.0,46.8,200,270,2.6,0.75,81.29
50.0,29.0,200,260,3.08,1.16,59.5
30.0,22.0,150,250,2.0,2.14,43.0
30.0,22.0,150,250,2.0,2.14,37.0
30.0,21.2,150,250,3.0,2.14,29.0
50.0,29.0,200,260,2.5,2.85,59.5
100.0,39.2,150,200,3.875,1.34,38.0
100.0,32.9,150,160,4.4,1.06,21.7
20.0,36.6,150,388,3.0,0.79,47.4
35.0,35.3,150,388,3.0,0.79,45.05
100.0,34.5,200,225,1.5,1.78,150.3
100.0,46.7,200,270,2.6,1.31,92.28
100.0,30.4,150,160,4.4,1.06,19.7
35.0,21.2,150,388,3.0,0.79,47.4
100.0,34.5,200,225,1.5,1.78,150.3
100.0,31.9,170,270,4.0,1.1,31.7
75.0,34.0,200,260,3.08,1.81,87.5
50.0,41.3,200,303,3.3,2.98,89.0
100.0,31.9,170,270,4.0,1.1,31.7
100.0,46.5,150,160,4.4,1.06,21.0
50.0,23.0,200,450,2.5,1.81,72.5
30.0,21.2,150,250,3.0,2.14,29.0
100.0,46.7,150,270,2.6,1.31,92.28
30.0,21.2,150,250,3.0,2.14,29.0
63.5,41.6,200,309,2.59,1.62,103.9
30.0,22.0,150,250,2.0,2.14,43.0
50.0,29.0,200,200,3.875,1.16,59.5
100.0,46.8,200,270,2.6,0.75,81.29
100.0,46.7,200,270,2.6,1.31,92.28
100.0,31.9,170,270,4.0,1.1,31.7
100.0,31.9,200,260,3.08,1.1,61.0
50.0,32.6,400,600,2.5,2.85,261.5
50.0,32.0,305,400,3.0,2.71,140.8
50.0,24.2,200,360,2.5,2.85,39.1
50.0,32.6,200,300,2.5,2.85,108.9
50.0,26.6,305,400,3.0,1.27,134.6
30.0,21.4,150,250,2.0,2.14,36.5
100.0,31.9,200,260,3.08,1.16,61.0
100.0,30.4,150,160,4.4,1.06,19.7
50.0,35.5,305,400,3.0,1.27,148.6
100.0,34.5,200,225,1.5,1.78,150.3
50.0,35.5,305,400,3.0,2.71,116.8
50.0,29.0,200,260,3.2,1.16,59.5
100.0,46.8,200,270,2.6,0.75,81.29
30.0,22.0,150,250,2.0,2.14,37.0
100.0,31.9,200,260,3.08,1.16,61.0
100.0,46.7,200,270,2.6,1.31,92.28
100.0,34.5,200,225,3.0,1.78,50.2
100.0,31.9,170,270,4.0,1.1,31.7
50.0,23.0,200,260,3.08,1.81,72.5
50.0,23.0,200,260,3.08,1.81,72.5
100.0,31.9,170,270,4.0,1.1,31.7
100.0,46.8,200,270,2.6,0.75,81.29
75.0,32.9,200,260,3.08,1.16,62.5
50.0,35.5,305,400,3.0,2.71,91.75
100.0,46.7,200,270,2.6,1.31,81.29
50.0,32.0,305,400,3.0,2.71,151.2
30.0,22.6,150,250,2.0,2.14,43.0
50.0,26.6,305,400,3.0,2.71,46.95
100.0,46.7,200,270,2.6,1.31,92.28
100.0,34.5,200,225,1.5,1.78,150.3
100.0,46.7,200,270,2.6,1.31,92.28
100.0,34.5,200,225,1.5,1.78,140.4
50.0,32.0,305,400,3.0,2.71,117.4
100.0,31.9,170,270,4.0,1.1,31.7
100.0,34.9,400,600,2.5,2.85,256.6
75.0,34.0,200,260,3.08,1.81,87.5
100.0,46.7,200,270,2.6,1.31,92.28
50.0,29.0,200,260,3.08,1.16,59.5
100.0,34.5,200,225,1.5,1.78,107.8
30.0,21.5,150,250,2.0,2.14,36.5
50.0,29.0,200,260,3.08,1.9,59.5
100.0,22.6,200,360,2.5,0.83,70.07
100.0,34.9,200,450,2.5,0.83,96.4
100.0,46.7,200,270,2.6,1.31,92.28
100.0,46.5,150,160,4.4,1.06,21.0
50.0,35.5,305,400,3.0,2.71,140.8
75.0,34.0,200,260,3.08,1.81,87.5
50.0,26.6,305,400,3.0,1.27,134.6
23.0,21.2,150,388,3.0,2.14,47.4
50.0,35.5,305,400,3.0,2.71,168.6
100.0,31.9,170,270,4.0,1.1,31.7
100.0,31.9,170,270,4.0,1.1,31.7
50.0,29.0,200,260,3.08,1.16,59.5
100.0,22.6,200,360,3.25,1.61,57.77
100.0,46.7,200,270,2.6,1.31,92.28
100.0,31.9,170,270,4.0,1.1,31.7
15.0,22.0,150,250,2.0,2.14,55.5
100.0,31.9,170,270,4.0,1.1,31.7
50.0,38.1,150,388,3.0,0.79,46.95
100.0,46.8,200,270,2.6,0.75,81.29
100.0,31.9,170,270,4.0,1.1,31.7
100.0,29.5,200,160,3.08,0.59,81.15
30.0,23.8,150,250,2.0,2.14,43.0
63.5,41.6,200,201,5.69,1.99,89.3
50.0,29.0,200,260,3.08,1.16,59.5
100.0,31.9,200,260,3.08,1.16,61.0
30.0,37.4,150,250,3.0,2.14,29.0
100.0,31.9,200,260,3.08,1.16,61.0
50.0,26.6,305,400,3.0,2.71,134.6
100.0,34.5,200,225,1.5,1.78,130.0
100.0,30.4,150,160,4.4,1.65,27.3
100.0,46.7,200,270,2.6,1.31,92.28
100.0,46.7,200,270,2.6,1.31,92.28
20.0,35.3,150,388,3.0,0.79,48.9
100.0,23.2,206,260,3.0,1.9,46.45
20.0,21.2,150,388,3.0,0.79,52.5
30.0,23.8,150,250,2.0,2.14,43.0
75.0,34.0,150,388,3.0,0.79,47.4
100.0,31.9,200,260,3.0,1.1,61.0
100.0,46.5,150,160,4.4,1.06,21.0
30.0,22.0,150,250,2.0,2.14,37.0
30.0,21.5,150,250,2.0,2.14,36.5
100.0,34.5,200,225,1.5,1.78,130.0
30.0,22.0,150,250,2.0,2.14,37.0
100.0,31.9,200,260,3.08,1.16,61.0
50.0,29.0,200,260,3.08,1.16,59.5
100.0,31.9,200,260,3.08,1.16,61.0
30.0,21.4,150,250,1.0,2.14,41.5
100.0,31.9,200,260,3.08,1.16,61.0
100.0,34.5,200,225,3.0,1.78,49.0
63.5,41.6,200,305,3.93,2.46,83.2
50.0,29.0,200,260,3.08,1.16,59.5
75.0,34.0,200,260,3.08,1.81,87.5
50.0,34.0,200,260,3.08,1.81,87.5
30.0,24.5,150,250,2.0,2.14,43.0
100.0,30.4,150,160,4.4,1.34,19.7
30.0,23.8,150,250,2.0,2.14,43.0
100.0,34.5,200,225,1.5,1.78,49.0
100.0,31.9,200,260,3.3,1.16,61.0
30.0,21.2,150,388,3.0,2.14,29.0
100.0,31.9,170,270,4.0,1.1,31.7
30.0,22.0,150,250,2.0,2.14,37.0
50.0,38.1,150,250,3.0,2.14,43.7
100.0,31.9,170,270,4.0,1.1,31.7
75.0,36.6,150,388,3.0,0.79,47.4
100.0,31.9,170,270,4.0,1.1,31.7
50.0,29.0,200,260,2.5,1.16,59.5
100.0,46.5,150,160,4.4,1.06,21.4
100.0,46.8,200,270,2.6,0.75,81.29
100.0,46.5,200,270,2.6,0.75,81.29
75.0,34.0,200,260,3.08,1.81,87.5
100.0,34.5,200,225,1.5,1.78,130.0
30.0,21.2,150,388,3.0,0.79,29.0
50.0,26.6,305,400,3.0,2.71,134.6
100.0,46.7,200,270,2.6,1.31,92.28
30.0,22.0,150,250,2.0,2.14,37.0
100.0,46.7,200,270,2.6,1.31,92.28
30.0,21.5,150,250,2.0,2.14,35.5
63.5,41.6,200,305,2.0,2.46,89.3
75.0,34.0,200,260,3.08,1.81,87.5
100.0,30.4,150,160,4.4,0.59,19.7
50.0,29.0,200,260,3.2,1.16,59.5
30.0,23.8,150,250,2.0,2.14,43.0
100.0,34.5,200,225,1.5,1.78,140.4
100.0,31.9,200,260,3.08,1.16,61.0
100.0,30.4,150,160,4.4,1.06,19.7
100.0,31.9,170,270,4.0,1.1,31.7
50.0,29.0,150,260,3.08,1.16,59.5
50.0,29.0,200,260,3.08,1.16,59.5
30.0,35.3,150,250,3.0,0.79,29.0
63.5,41.6,200,201,5.69,1.99,89.3
50.0,41.3,305,450,4.2,2.71,89.0
30.0,35.3,150,250,3.0,2.14,46.95
30.0,21.4,150,250,1.0,2.14,41.5
100.0,34.1,300,400,3.0,1.27,114.8
100.0,31.9,170,270,4.0,1.1,31.7
50.0,29.0,200,260,3.08,1.16,59.5
100.0,34.5,200,225,1.5,1.78,130.0
63.5,41.6,200,381,2.73,1.83,99.5
25.0,30.7,200,260,3.08,1.81,83.85
100.0,32.6,170,270,2.0,1.1,65.2
100.0,34.5,170,225,1.5,1.78,152.88
50.0,23.0,200,260,3.08,1.81,72.5
75.0,34.0,200,260,3.08,1.81,87.5
50.0,26.6,305,400,3.0,2.71,171.7
100.0,31.9,170,270,4.0,1.1,31.7
100.0,34.5,200,235,2.6,4.09,84.77
50.0,32.6,200,450,2.5,2.85,126.1
50.0,29.0,200,260,3.08,1.16,59.5
100.0,31.9,200,260,3.08,1.16,61.0
75.0,34.0,150,260,3.0,1.81,87.5
50.0,33.4,200,235,4.2,4.09,91.75
50.0,29.0,200,260,3.08,1.16,59.5
100.0,39.2,150,160,3.875,1.06,21.0
25.0,35.7,200,260,3.08,1.16,67.5
100.0,46.8,200,270,2.6,0.75,81.29
30.0,22.0,150,250,2.0,2.14,37.0
50.0,29.0,305,260,3.0,1.16,59.5
50.0,32.6,200,450,2.5,2.85,89.0
50.0,34.0,200,260,3.08,1.81,87.5
100.0,31.9,170,270,4.0,1.1,31.7
100.0,31.9,200,260,4.0,1.16,61.0
35.0,35.3,150,388,3.0,0.79,29.0
100.0,34.5,200,225,1.5,1.78,107.8
10.0,36.6,150,388,3.0,0.79,47.4
50.0,35.5,300,400,3.0,1.27,114.8
10.0,34.8,150,388,3.0,0.79,52.5
100.0,46.7,200,270,2.6,1.31,92.28
100.0,31.9,170,270,4.0,1.1,31.7
100.0,46.8,200,270,2.6,0.75,81.29
100.0,32.9,200,260,3.08,1.16,62.5
50.0,30.8,305,375,3.2,1.27,134.6
100.0,46.5,150,160,4.4,1.06,21.0
100.0,46.8,200,270,2.6,0.75,81.29
35.0,38.1,150,388,3.0,0.79,29.0
75.0,34.0,200,260,3.08,1.81,87.5
30.0,24.5,150,303,2.5,2.14,104.0
100.0,34.1,300,400,3.0,1.27,113.0
50.0,34.9,400,600,2.5,2.85,256.6
100.0,30.4,150,160,4.4,1.06,21.0
100.0,46.7,200,270,2.6,1.31,92.28
100.0,34.5,200,225,1.5,1.78,140.4
100.0,29.5,200,260,2.0,1.1,81.15
30.0,22.0,150,250,2.0,2.14,37.0
100.0,46.7,200,270,2.6,1.31,92.28
50.0,32.6,400,600,2.5,2.85,261.5
100.0,46.7,200,270,2.6,1.31,92.28
100.0,34.5,200,225,1.5,1.78,150.3
30.0,21.2,150,250,3.0,2.14,29.0
100.0,46.8,200,270,2.6,0.75,81.29
50.0,29.0,200,260,2.5,2.85,59.5
50.0,29.0,200,260,3.08,1.16,59.5
50.0,29.0,200,260,3.08,1.16,59.5
100.0,30.4,150,160,4.4,1.06,21.7
100.0,34.5,200,225,1.5,1.78,150.3
30.0,21.4,150,250,1.0,2.14,41.5
100.0,46.5,150,160,4.4,1.06,21.0
100.0,34.9,200,360,2.5,0.53,59.78
30.0,20.0,150,250,2.0,2.14,35.5
50.0,35.5,305,400,3.0,2.71,168.6
100.0,34.5,170,225,1.5,1.78,150.3
100.0,34.5,200,225,1.5,1.78,150.3
100.0,31.9,170,450,4.0,1.1,31.7
50.0,29.0,200,375,2.5,1.16,59.5
75.0,34.0,200,260,3.08,1.81,87.5
75.0,32.9,200,260,3.08,1.16,62.5
75.0,34.0,200,260,3.08,1.81,87.5
100.0,46.7,200,270,2.6,2.85,96.4
75.0,34.0,200,260,3.08,1.81,87.5
100.0,30.4,150,160,4.4,1.06,12.1
100.0,46.7,200,270,2.6,1.31,92.28
50.0,29.0,200,260,3.875,1.16,59.5
50.0,23.0,200,260,3.08,1.81,72.5
50.0,32.1,300,375,3.0,2.71,171.8
50.0,29.0,200,375,3.08,1.16,59.5
30.0,22.0,150,250,2.0,2.14,37.0
75.0,34.0,200,260,3.08,1.81,87.5
30.0,21.5,150,250,2.0,2.14,37.0
50.0,26.6,305,400,3.0,1.27,134.6
100.0,34.5,200,225,1.5,1.78,150.3
50.0,35.5,305,400,3.0,1.27,134.6
50.0,29.0,300,260,3.2,1.16,59.5
100.0,34.5,200,225,1.5,1.78,130.0
50.0,26.6,305,400,3.0,1.27,134.6
50.0,21.2,150,388,3.0,0.79,47.4
100.0,46.7,200,270,2.6,1.31,92.28
50.0,35.5,305,400,3.0,1.27,134.6
30.0,21.2,150,250,3.0,2.14,29.0
100.0,46.8,200,270,2.6,0.75,81.1
100.0,46.7,200,375,3.0,1.31,47.4
50.0,29.0,200,260,3.08,1.16,59.5
75.0,34.0,200,260,3.08,1.81,87.5
50.0,32.0,305,400,3.0,2.71,168.6
25.0,35.7,200,260,2.5,1.16,67.5
100.0,34.5,200,225,1.5,1.78,150.3
100.0,46.7,170,270,2.6,1.31,92.28
100.0,34.5,200,225,1.5,1.78,150.3
100.0,31.8,150,160,4.4,1.06,21.4
100.0,46.7,200,270,2.6,1.31,92.28
100.0,46.7,200,270,2.6,1.31,92.28
30.0,22.0,150,250,2.0,2.14,37.0
50.0,23.0,200,260,3.08,1.81,72.5
100.0,31.9,170,270,4.0,1.1,31.7
100.0,34.5,200,225,1.5,1.78,130.0
30.0,21.2,150,388,3.0,0.79,47.4
100.0,34.5,200,225,3.0,1.78,49.0
50.0,29.0,200,260,2.0,1.16,59.5
100.0,46.5,200,270,2.6,0.75,81.29
100.0,31.9,170,270,4.0,1.1,31.7
100.0,30.4,150,160,4.4,0.59,12.6
100.0,31.9,170,270,4.0,1.1,31.7
100.0,31.9,170,270,4.0,1.1,31.7
50.0,23.0,305,260,3.0,1.81,72.5
50.0,26.6,305,375,3.2,4.09,91.75
50.0,29.0,200,260,3.08,1.16,59.5
100.0,46.8,200,270,2.6,0.75,81.29
50.0,41.3,305,303,3.2,2.98,89.0
100.0,34.5,200,225,1.5,1.78,150.3
100.0,34.5,200,225,3.0,1.78,49.0
100.0,46.8,200,270,2.6,0.75,81.29
50.0,26.6,305,375,3.2,2.85,99.9
75.0,34.0,200,260,3.08,1.81,87.5
100.0,31.8,150,160,4.4,0.59,21.7
100.0,34.5,200,225,1.5,1.78,140.4
100.0,46.7,200,270,2.6,1.31,92.28
100.0,46.5,150,160,4.4,0.59,55.04
100.0,46.8,200,270,2.6,0.75,81.1
50.0,33.4,200,375,2.5,1.99,44.0
100.0,31.9,200,260,3.08,1.16,61.0
100.0,31.9,170,270,4.0,1.1,31.7
75.0,34.0,200,260,3.08,1.81,87.5
50.0,29.0,200,260,3.875,1.16,59.5
100.0,46.7,200,270,2.6,1.31,92.28
50.0,26.6,305,400,3.0,1.27,134.6
100.0,32.9,200,260,4.4,1.78,62.5
50.0,29.0,200,375,3.875,1.16,59.5
100.0,46.8,200,270,2.6,0.75,81.29
50.0,29.0,200,260,2.5,1.16,59.5
100.0,46.5,150,160,4.4,1.06,21.0
100.0,46.5,150,160,4.4,1.06,21.0
100.0,34.9,200,360,2.5,2.85,72.9
50.0,29.0,200,260,3.08,1.16,59.5
50.0,33.4,305,235,4.2,4.09,91.75
100.0,31.8,150,160,4.4,1.06,19.7
100.0,46.7,200,270,2.6,1.31,92.28
50.0,23.0,200,235,4.2,1.81,91.75
100.0,31.9,170,270,4.0,1.1,31.7
100.0,23.2,170,260,2.0,1.1,61.0
100.0,34.5,200,225,1.5,1.78,150.3
30.0,36.6,150,250,2.0,2.14,35.5
100.0,31.9,170,270,4.0,1.1,31.7
75.0,34.0,200,260,3.08,1.81,87.5
50.0,29.0,200,260,3.08,1.16,59.5
100.0,34.9,200,270,2.6,1.31,81.1
50.0,37.4,150,388,3.0,0.79,43.7
75.0,34.0,200,260,3.08,1.81,87.5
100.0,34.5,200,225,1.5,1.78,140.4
30.0,21.4,150,250,1.0,2.14,41.5
100.0,34.9,200,450,2.5,2.85,96.4
50.0,35.5,305,400,3.0,1.27,148.6
100.0,46.8,200,270,2.6,0.75,81.29
100.0,30.4,150,160,4.4,1.06,19.7
100.0,46.7,200,270,2.6,1.31,92.28
75.0,34.0,200,260,3.08,1.81,87.5
100.0,34.5,200,225,3.0,1.78,49.0
100.0,31.9,200,260,3.08,1.16,61.0
50.0,29.0,200,260,3.08,1.16,59.5
50.0,35.5,305,400,3.0,1.27,134.6
50.0,24.2,305,450,3.2,2.03,89.0
100.0,30.4,150,160,4.4,1.06,12.1
50.0,26.6,305,400,3.0,1.27,168.6
100.0,34.5,200,225,3.0,1.78,49.0
50.0,23.0,200,260,3.08,1.81,72.5
100.0,31.9,170,270,4.0,1.1,31.7
50.0,33.4,200,375,4.2,4.09,91.75
100.0,30.4,150,160,4.4,1.34,36.4
30.0,21.5,150,250,2.0,2.14,36.5
50.0,31.9,200,260,3.08,1.16,59.5
35.0,36.6,150,388,3.0,0.79,47.4
50.0,41.3,305,303,3.3,2.03,89.0
10.0,34.8,150,388,3.0,0.79,52.5
50.0,35.5,305,400,3.0,2.71,168.6
100.0,31.9,170,305,4.0,1.1,31.7
75.0,34.0,200,260,3.08,1.81,87.5
30.0,21.5,150,250,2.0,2.14,36.5
100.0,34.5,200,225,1.5,1.78,130.0
75.0,34.0,200,260,3.08,1.81,87.5
30.0,37.4,150,250,3.0,2.14,29.0
100.0,46.5,200,270,2.6,0.75,81.29
100.0,34.5,170,225,1.5,1.78,130.0
100.0,31.9,200,260,3.08,1.16,61.0
75.0,34.0,200,260,3.08,1.81,87.5
50.0,24.2,200,360,3.25,1.61,71.54
30.0,21.4,150,250,1.0,2.14,41.5
10.0,34.8,150,388,3.0,0.79,52.5
100.0,46.5,150,160,4.4,1.06,12.1
100.0,34.5,200,225,3.0,1.78,130.0
50.0,35.5,305,400,3.0,2.71,168.6
50.0,29.0,200,260,3.08,1.16,59.5
100.0,34.5,200,225,1.5,1.78,150.3
50.0,33.4,305,235,4.2,4.09,91.75
100.0,46.5,150,160,4.4,1.06,27.7
50.0,32.6,305,375,3.2,2.03,91.75
50.0,35.5,200,450,3.3,2.98,111.6
30.0,21.4,150,250,1.0,2.14,41.5
30.0,21.4,150,250,1.0,2.14,41.5
100.0,46.5,150,160,4.4,1.06,19.7
100.0,30.4,150,160,3.875,1.34,19.7
100.0,46.7,200,270,2.6,1.31,92.28
23.0,34.0,200,260,2.0,1.81,47.25
30.0,22.0,150,250,2.0,2.14,43.0
75.0,34.0,200,260,3.08,1.81,87.5
100.0,46.7,200,270,2.6,1.31,92.28
100.0,46.7,200,270,2.6,1.31,92.28
100.0,34.5,200,225,3.0,1.78,49.0
100.0,31.9,200,260,3.08,1.16,61.0
50.0,29.0,200,260,3.0,1.16,59.5
100.0,46.8,200,270,2.6,0.75,81.29
30.0,21.5,150,250,2.0,2.14,36.5
100.0,34.5,200,225,1.5,1.78,150.3
100.0,34.9,200,600,2.5,2.85,96.4
100.0,46.8,200,270,2.6,1.31,81.29
100.0,31.8,150,160,4.4,0.59,19.7
50.0,32.0,305,400,3.0,2.71,140.8
23.0,37.4,150,388,3.0,0.79,48.9
100.0,46.7,200,270,2.6,1.31,92.28
100.0,31.9,200,270,2.5,2.85,61.0
100.0,30.4,150,160,4.4,0.59,12.1
30.0,22.0,150,250,2.0,2.14,37.0
50.0,33.4,305,375,3.2,2.03,152.88
100.0,31.9,200,260,2.5,1.16,61.0
100.0,46.8,200,270,2.6,0.75,81.29
75.0,34.0,200,260,3.08,1.81,87.5
23.0,34.0,150,250,3.0,2.14,47.25
100.0,46.8,200,270,2.6,0.75,81.29
100.0,34.5,200,225,1.5,1.78,150.3
25.0,35.7,200,260,3.08,1.16,67.5
30.0,21.5,150,250,2.0,2.14,35.5
50.0,32.6,400,600,2.5,2.85,261.5
100.0,46.7,200,270,2.6,1.31,92.28
100.0,31.9,200,260,3.875,1.16,61.0
100.0,46.7,200,270,2.6,1.31,92.28
50.0,29.0,200,260,2.5,1.16,59.5
30.0,22.0,150,250,2.0,2.14,37.0
100.0,31.9,200,270,2.0,1.1,61.0
35.0,35.8,150,388,3.0,0.79,42.5
15.0,22.6,200,360,2.5,0.53,59.78
50.0,23.0,200,260,2.5,1.81,72.5
63.5,41.6,200,305,3.93,2.46,49.0
